cosecha_id,finca_id,cultivo_id,fecha,calidad,kg
1,1,1,2026-03-20,primera,4200
2,1,1,2026-04-18,segunda,3100
3,1,1,2026-03-22,primera,5400
4,1,2,2026-04-22,primera,1500
5,2,2,2026-04-05,primera,2600
6,2,2,2026-04-26,segunda,1850
7,2,5,2026-04-30,primera,9800
8,3,3,2026-03-28,primera,1200
9,3,3,2026-04-22,primera,900
10,3,3,2025-01-24,primera,2000
11,1,1,2025-02-17,primera,3800
12,1,1,2025-03-14,primera,4900
13,2,2,2025-03-27,segunda,3300
14,1,1,2025-04-09,primera,3600
15,2,5,2025-04-28,primera,5900
16,2,2,2025-05-16,primera,2750
17,3,3,2025-05-30,segunda,1450
18,1,1,2025-06-21,primera,3100
19,2,5,2025-07-08,primera,1850
20,3,3,2025-07-25,primera,1000
21,1,1,2025-08-19,primera,5600
22,2,2,2025-09-11,segunda,1800
23,3,3,2025-10-23,primera,3150
24,2,5,2025-11-14,primera,1600
25,3,3,2025-12-05,primera,1200
