meta_id,finca_id,fecha_mes,kg_meta
1,1,2026-01-01,1500
2,2,2026-01-01,1440
3,3,2026-01-01,1100
4,1,2026-02-01,2000
5,2,2026-02-01,2000
6,3,2026-02-01,1200
7,1,2026-03-01,3000
8,2,2026-03-01,2500
9,3,2026-03-01,1400
10,1,2026-04-01,3500
11,2,2026-04-01,3500
12,3,2026-04-01,1300
13,1,2026-05-01,1800
14,2,2026-05-01,2260
15,3,2026-05-01,500
16,1,2026-06-01,1800
17,2,2026-06-01,1800
18,3,2026-06-01,400
19,1,2026-07-01,1400
20,2,2026-07-01,1500
21,3,2026-07-01,300
22,1,2026-08-01,2200
23,2,2026-08-01,1200
24,3,2026-08-01,300
25,1,2026-09-01,1200
26,2,2026-09-01,1000
27,3,2026-09-01,300
28,1,2026-10-01,800
29,2,2026-10-01,800
30,3,2026-10-01,500
31,1,2026-11-01,500
32,2,2026-11-01,600
33,3,2026-11-01,400
34,1,2026-12-01,300
35,2,2026-12-01,400
36,3,2026-12-01,300
